DS_Name,DS_Address,EE_Name,EE_Address,ED_Name,ED_Address,Match
zaffronristorante,6200yongestreet,zazaespressobargelato,200kingstreetwest,42,69,u
zaffronristorante,6200yongestreet,zazaespressobargelato,140laroseavenue,42,33,u
zaffronristorante,6200yongestreet,zazarestaurantbar,2063yongestreet,53,87,u
zaffronristorante,6200yongestreet,zazashawarma,500rexdaleboulevard,34,29,u
zaffronristorante,6200yongestreet,zazisrestaurant,44faskendrive,56,21,u
zaffronristorante,6200yongestreet,zazou,317kingstreetwest,27,50,u
zaffronristorante,6200yongestreet,zazuespressobarcannoli,29bellairstreet,41,53,u
zaffronristorante,6200yongestreet,zazurestaurant,26lombardstreet,58,53,u
zaffronristorante,6200yongestreet,zbargrille,2527eglintonavenuewest,44,38,u
zaffronristorante,6200yongestreet,zealburgers,1926westonroad,36,34,u
zaffronristorante,6200yongestreet,zed,812dundasstreetwest,20,47,u
zaffronristorante,6200yongestreet,zeezeeksbargrill,3832bloorstreetwest,30,47,u
zaffronristorante,6200yongestreet,zeitounrestaurant,980danforthavenue,59,31,u
zaffronristorante,6200yongestreet,zeldas,542churchstreet,26,47,u
zaffronristorante,6200yongestreet,zeldaslivingwell,76wellesleystreeteast,30,44,u
zaffronristorante,6200yongestreet,zeldaslivingwell,692yongestreet,30,90,u
zaffronristorante,6200yongestreet,zeldensdelianddesserts,1446yongestreet,31,80,u
zaffronristorante,6200yongestreet,zellers,2267islingtonavenue,25,35,u
zaffronristorante,6200yongestreet,zellers,3469lawrenceavenueeast,25,32,u
zaffronristorante,6200yongestreet,zellers,500rexdaleboulevard,25,29,u
zaffronristorante,6200yongestreet,zellers,2400eglintonavenuewest,25,49,u
zaffronristorante,6200yongestreet,zellers,900dufferinstreet,25,56,u
zaffronristorante,6200yongestreet,zellers,1700wilsonavenue,25,39,u
zaffronristorante,6200yongestreet,zellers,1571sandhurstcircle,25,29,u
zaffronristorante,6200yongestreet,zellers,2650lawrenceavenueeast,25,38,u
zaffronristorante,6200yongestreet,zellers,1880eglintonavenueeast,25,38,u
zaffronristorante,6200yongestreet,zellerscloverdalemallstore473,250theeastmall,39,41,u
zaffronristorante,6200yongestreet,zembabarestaurantbar,838bloorstreetwest,49,42,u
zaffronristorante,6200yongestreet,zembabarestorantbar,838bloorstreetwest,56,42,u
zaffronristorante,6200yongestreet,zemensportsbarandcafe,842bloorstreetwest,42,48,u
zaffronristorante,6200yongestreet,zemra,778stclairavenuewest,27,34,u
zaffronristorante,6200yongestreet,zenacaffe,250churchstreet,38,53,u
zaffronristorante,6200yongestreet,zenasdiner,2703eglintonavenueeast,37,43,u
zaffronristorante,6200yongestreet,zenasdiner,2693eglintonavenueeast,37,38,u
zaffronristorante,6200yongestreet,zenjapanesecuisine,4002sheppardavenueeast,40,38,u
zaffronristorante,6200yongestreet,zenjapaneserestaurant,2803eglintonavenueeast,53,43,u
zaffronristorante,6200yongestreet,zenlounge,526queenstreetwest,38,48,u
zaffronristorante,6200yongestreet,zenq,5437yongestreet,19,73,u
zaffronristorante,6200yongestreet,zeroone,792queenstreeteast,50,48,u
zaffronristorante,6200yongestreet,zerosunjapaneserestaurant,69yorkvilleavenue,52,38,u
zaffronristorante,6200yongestreet,zerosunjapaneserestaurant,3555kingstonroad,52,32,u
zaffronristorante,6200yongestreet,zerozoneplace,3290midlandavenue,40,31,u
zaffronristorante,6200yongestreet,zeuscafelounge,1940eglintonavenueeast,39,38,u
zaffronristorante,6200yongestreet,zeytouna,10dundasstreeteast,32,48,u
zaffronristorante,6200yongestreet,zeytouna,171dundasstreetwest,32,41,u
